SALARY,HOURLY RATE,TITLE,DEPARTMENT
"$37,004.25 ",,FIRST CLASS FIREFIGHTER,FIRE
,$34.00 ,OFFICIALS,PARK AND RECREATION
"$59,802.51 ",,POLICE CORPORALS,POLICE
"$49,038.25 ",,ZONING SPECIALIST,INSPECTIONS
"$59,933.44 ",,FIRE LT/HAZMAT TECH,FIRE
,$14.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$182,499.95 ",,CITY MANAGER,GENERAL GOVERNMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$43,709.74 ",,GARDENER,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$9.26 ,SCHOOL CROSSING GUARD (T),POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,059.90 ",,METER READER,PUBLIC UTILITIES
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$81,226.26 ",,CONSTRUCTION PROJECTS ADMINISTRATOR,PUBLIC UTILITIES
"$20,560.38 ",,SERVICE WORKER,PUBLIC UTILITIES
"$21,949.20 ",,SERVICE WORKER,PARK AND RECREATION
"$43,354.14 ",,PLANNER II,PLANNING
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$42,770.00 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$30,377.15 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$49,037.14 ",,SENIOR FIREFIGHTER,FIRE
"$46,155.39 ",,TECHNICAL SUPPORT ANALYST,INFORMATION TECHNOLOGY
"$32,212.54 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$25,392.43 ",,STAFF SUPPORT SPECIALIST,COMMUNITY SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$60,881.18 ",,POLICE DETECTIVE I,POLICE
"$31,483.71 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$28,652.21 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$33,453.20 ",,POLICE OFFICER,POLICE
"$64,399.77 ",,FIRE CAPTAIN,FIRE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$23,138.13 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$50,751.40 ",,OCCUPATIONAL HEALTH SPECIALIST,PERSONNEL
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$64,758.22 ",,POLICE SERGEANT,POLICE
"$31,200.00 ",,LEAD SERVICE WORKER,PUBLIC WORKS
"$40,405.84 ",,FIRST CLASS FIREFIGHTER,FIRE
"$24,991.20 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$32,952.19 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$72,418.50 ",,SENIOR GIS PROGRAMMER/ANALYST,INFORMATION TECHNOLOGY
"$32,767.49 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$62,178.92 ",,POLICE SERGEANT,POLICE
"$75,497.82 ",,PUBLIC WORKS ENG INSPECTIONS MNG,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$51,530.20 ",,NURSE,PERSONNEL
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$23,801.23 ",,ASST SEWER MONITORING TECH,PUBLIC UTILITIES
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$41,318.78 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$24,115.94 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$35,333.03 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$34,973.95 ",,WATER QUALITY TECHNICIAN,PUBLIC UTILITIES
"$43,709.74 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$11.00 ,HUMAN RESOURCES COUNSELOR (T),COMMUNITY SERVICES
"$33,349.47 ",,FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$28,439.42 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$49,406.56 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$55,155.17 ",,POLICE DETECTIVE I,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$64,970.29 ",,POLICE DETECTIVE II,POLICE
"$49,399.17 ",,TRAFFIC SIGNAL TECHNICIAN,PUBLIC WORKS
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$21,708.54 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$41,013.02 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$41,106.83 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$54,946.99 ",,FIRE LIEUTENANT,FIRE
"$63,385.58 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$16.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$60,664.98 ",,FIRE CAPTAIN,FIRE
"$47,536.68 ",,SENIOR FIREFIGHTER,FIRE
"$64,324.72 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$51,180.36 ",,FIRE LIEUTENANT,FIRE
"$60,925.74 ",,SENIOR POLICE OFFICER,POLICE
"$76,908.69 ",,POLICE LIEUTENANT,POLICE
"$26,615.68 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$8.19 ,CL. ASSISTANT I (T),FINANCE
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$68,716.50 ",,POLICE SERGEANT,POLICE
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$48,048.83 ",,CREW SUPERVISOR,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$43,875.18 ",,SENIOR FIREFIGHTER,FIRE
,$15.00 ,STAGE TECHNICIAN IV (T),CONVENTION CENTER
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$31,540.08 ",,LEAD SERVICE WORKER,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$40.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$30,588.06 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$52,185.07 ",,TECHNICAL SUPPORT ANALYST,INFORMATION TECHNOLOGY
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,831.92 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$56,692.05 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$26,633.36 ",,SERVICE WORKER,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$32,304.58 ",,FIREFIGHTER,FIRE
"$76,230.57 ",,BATTALION FIRE CHIEF,FIRE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$95,412.67 ",,SENIOR PROJECT ENGINEER,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$31,972.72 ",,SERVICE WORKER,PARK AND RECREATION
"$54,730.02 ",,PLANNER II,PLANNING
"$38,017.81 ",,SENIOR STAFF SUPPORT SPECIALIST,INSPECTIONS
"$27,552.93 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$31,547.15 ",,INVENTORY SUPERVISOR,PUBLIC UTILITIES
"$62,649.79 ",,POLICE CORPORALS,POLICE
"$69,148.80 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$60,288.80 ",,ATHLETIC PROGRAM DIRECTOR,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$48,101.47 ",,SENIOR FIREFIGHTER,FIRE
"$67,233.94 ",,FIRE CAPTAIN,FIRE
"$50,873.22 ",,MASTER POLICE OFFICER,POLICE
"$36,923.67 ",,FIRE PROTECTION INSPECTOR,FIRE
"$89,526.45 ",,PARKS & REC DEVELOPMENT ADMINISTRA,PARK AND RECREATION
"$68,099.74 ",,POLICE SERGEANT,POLICE
"$39,590.92 ",,HOUSING INSPECTOR (I),INSPECTIONS
"$63,385.58 ",,POLICE DETECTIVE I,POLICE
"$38,759.67 ",,FIRST CLASS POLICE OFFICER,POLICE
"$43,709.74 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$44,999.99 ",,ENGINEERING INSPECTOR,PUBLIC WORKS
"$108,819.87 ",,CITY CONSTRUCTION PROJECTS ADMINIST,PUBLIC WORKS
"$67,167.94 ",,FIRE CAPTAIN,FIRE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$28,058.58 ",,SERVICE WORKER,PUBLIC WORKS
"$28,070.85 ",,EQUIPMENT OPERATOR I,PUBLIC UTILITIES
"$67,036.83 ",,PLANNER II,PLANNING
"$29,730.48 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
"$43,709.74 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$32,482.94 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.00 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
"$30,285.05 ",,FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$30,146.06 ",,SR. TRAFFIC SERVICES TECHNICIAN,PUBLIC WORKS
"$55,359.82 ",,RCCC PRODUCTION SUPERVISOR,CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$49,986.91 ",,FINANCE MANAGER,FINANCE
"$24,492.00 ",,SERVICE WORKER,CONVENTION CENTER
"$53,851.82 ",,WATER & SEWER SUPERVISOR III,PUBLIC UTILITIES
"$43,478.86 ",,ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$53,401.13 ",,COMPUTER SYSTEMS SPECIALIST,PUBLIC WORKS
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
"$59,149.32 ",,ADMINISTRATIVE ASSISTANT,GENERAL GOVERNMENT
"$26,615.68 ",,WATER QUALITY TECHNICIAN,PUBLIC UTILITIES
"$50,599.33 ",,CREW SUPERVISOR,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$42,187.85 ",,UB FINANCIAL SPECIALIST,FINANCE
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$42,800.50 ",,FIRST CLASS POLICE OFFICER,POLICE
"$50,843.52 ",,MASTER POLICE OFFICER,POLICE
"$55,483.23 ",,COMMUNITY RELATIONS ADMINISTRATOR,GENERAL GOVERNMENT
"$39,860.13 ",,PERSONNEL SPECIALIST,PERSONNEL
"$61,836.90 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$28,215.82 ",,ANIMAL CONTROL OFFICER,POLICE
"$28,618.93 ",,ANIMAL CONTROL OFFICER,POLICE
,$12.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$41,867.17 ",,FIRST CLASS FIREFIGHTER,FIRE
,$22.00 ,OFFICIALS,PARK AND RECREATION
"$51,464.87 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$61,627.36 ",,CIVIL ENGINEER,PUBLIC UTILITIES
"$45,216.80 ",,PAYROLL TECHNICIAN,FINANCE
,$12.00 ,OFFICIALS,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$34.00 ,OFFICIALS,PARK AND RECREATION
"$39,877.26 ",,FIRST CLASS FIREFIGHTER,FIRE
"$36,140.21 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$81,410.63 ",,RCCC FACILITIES MANAGER,CONVENTION CENTER
"$72,818.27 ",,SENIOR PLANNER,PLANNING
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$60,484.50 ",,FIRE CAPTAIN,FIRE
"$32,428.45 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$38,946.56 ",,FIRST CLASS FIREFIGHTER,FIRE
"$35,437.40 ",,COMPUTER SYSTEMS SPECIALIST,FINANCE
"$54,586.68 ",,POLICE DETECTIVE I,POLICE
"$43,709.74 ",,ANIMAL CONTROL OFFICER,POLICE
"$52,891.07 ",,CHEMIST,PUBLIC UTILITIES
"$30,376.94 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$46,378.05 ",,CODE ENFORCEMENT INSPECTOR (I),INSPECTIONS
"$33,250.88 ",,COMMUNICATIONS TECHNICIAN,PUBLIC WORKS
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$20,560.38 ",,LABORER I -,PARK AND RECREATION
"$25,427.58 ",,SERVICE WORKER,PUBLIC UTILITIES
,$20.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
"$67,233.94 ",,FIRE CAPTAIN,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$43,876.64 ",,FIRE LIEUTENANT,FIRE
,$20.00 ,ADMINISTRATIVE ASSISTANT,ADMINISTRATIVE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$61,503.94 ",,SENIOR CHEMIST,PUBLIC UTILITIES
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$66,738.89 ",,POLICE SERGEANT,POLICE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$33,490.51 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$28.00 ,OFFICIALS,PARK AND RECREATION
"$65,286.83 ",,ASSISTANT WATER & SEWER SUPERINTEND,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$55,916.85 ",,RCCC BOX OFFICE MANAGER,CONVENTION CENTER
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$58,041.36 ",,TELECOMMUNICATIONS SUPERVISOR,EMERGENCY COMMUNICATION
"$44,521.43 ",,STAFF ASSISTANT,POLICE
"$41,867.17 ",,FIRST CLASS FIREFIGHTER,FIRE
"$24,991.20 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$63,218.80 ",,FIRE CAPTAIN,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$31,630.56 ",,SEWER MONITORING TECH,PUBLIC UTILITIES
"$53,559.91 ",,STAFF ASSISTANT,ADMINISTRATIVE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$25,187.50 ",,STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
"$32,351.49 ",,TRAFFIC SIGNAL TECHNICIAN,PUBLIC WORKS
"$49,649.60 ",,CODE ENFORCEMENT INSPECTOR (I),INSPECTIONS
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$26,240.86 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
"$60,595.08 ",,ECC ADMINISTRATIVE ANALYST,EMERGENCY COMMUNICATION
"$43,875.18 ",,SENIOR FIREFIGHTER,FIRE
"$43,875.18 ",,SENIOR FIREFIGHTER,FIRE
,$8.75 ,ACTIVITY SPECIALIST IV (T),PARK AND RECREATION
"$79,074.04 ",,SOLID WASTE SERVICES DIRECTOR,SOLID WASTE SERVICES
"$59,659.67 ",,POLICE CORPORALS,POLICE
"$34,247.62 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$46,783.15 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$50,784.99 ",,MASTER POLICE OFFICER,POLICE
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$58,731.91 ",,POLICE SERGEANT,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$50,851.60 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$46,330.54 ",,CALL TAKER I,EMERGENCY COMMUNICATION
"$46,506.00 ",,PARKS AND REC MARKETING ADMIN,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$57,011.00 ",,GIS PROGRAMMER/ANALYST,INFORMATION TECHNOLOGY
"$46,858.83 ",,SYSTEMS ANALYST/PROGRAMMER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$30.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
"$70,411.07 ",,POLICE SERGEANT,POLICE
"$45,373.91 ",,MASTER POLICE OFFICER,POLICE
"$64,871.92 ",,TRANSPORTATION ENGINEER,PUBLIC WORKS
"$56,589.38 ",,FIRE LIEUTENANT,FIRE
"$49,664.71 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$41,172.14 ",,INDUSTRIAL PRETREATMENT COORDINATOR,PUBLIC UTILITIES
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$12.62 ,ADMINISTRATIVE ASSISTANT,PARK AND RECREATION
,$8.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$88,059.93 ",,PLANNING MANAGER,PLANNING
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$24,991.20 ",,LEAD SERVICE WORKER,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$22.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$72,491.04 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$36,923.46 ",,CODE ENFORCEMENT INSPECTOR (II),INSPECTIONS
,$11.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$31,421.52 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$39,323.53 ",,TRAFFIC SIGNAL SYSTEMS ANALYST,PUBLIC WORKS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$32,304.06 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$64,826.14 ",,POLICE SERGEANT,POLICE
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
