name,material,city,height,completed
1450 BRICKELL,concrete,Miami,152.5299988,2010
One Columbus Place Tower I,concrete,New York City,152.3999939,1999
One Columbus Place Tower II,concrete,New York City,152.3999939,1999
Sky Las Vegas,concrete,Las Vegas,152.3999939,2007
1818 Market Street,steel,Philadelphia,152.3999939,1974
28 State Street,steel,Boston,152.3999939,1970
Telesis Tower,steel,San Francisco,152.3999939,1982
Memorial Hermann Tower,concrete,Houston,152.3999939,2009
Four World Financial Center,steel,New York City,152.3999939,1986
One America Plaza,steel,San Diego,152.3999939,1991
The Tides,concrete,Chicago,152.3500061,2008
200 South Wacker,concrete,Chicago,152.3000031,1981
The St. James,concrete,Philadelphia,151.8399963,2004
Barclay-Vesey Building,steel,New York City,151.7899933,1926
Parkview West,concrete,Chicago,151.6399994,2008
Ameriprise Financial Center,mixed/composite,Minneapolis,151.6399994,2000
80 Pine Street,steel,New York City,151.5,1960
500 North Lake Shore Drive,concrete,Chicago,151.4900055,2013
Manchester Grand Hyatt Hotel,concrete,San Diego,151.4900055,1992
The Platinum,concrete,New York City,151.1799927,2008
Financial Times Building,steel,New York City,151.1799927,1965
Marriott's Custom House,steel,Boston,151.1799927,1915
Guardian Building,steel,Detroit,151.0299988,1929
20 Pine,steel,New York City,151,1928
55 West Monroe,concrete,Chicago,150.9199982,1980
Ontario Place,concrete,Chicago,150.8800049,1983
Avenue Brickell Tower,concrete,Miami,150.8800049,2007
333 Bush Street,steel,San Francisco,150.8800049,1986
PNC Tower,steel,Cincinnati,150.8800049,1913
John Hancock Building,steel,Boston,150.8800049,1949
The Ritz-Carlton Residences,concrete,Chicago,150.8500061,2012
50 East Chestnut Street,concrete,Chicago,150.7299957,2008
Icon Bay,concrete,Miami,150.5700073,2015
Hilton San Francisco Union Square,steel,San Francisco,150.2700043,1971
1000 Second Avenue,steel,Seattle,150.2700043,1986
Fuller Building,steel,New York City,150,1929
Akoya Condominiums,concrete,Miami Beach,149.9600067,2004
Loews Philadelphia Hotel,steel,Philadelphia,149.9600067,1932
Pacific Gas & Electric Building,steel,San Francisco,149.9600067,1971
Target Plaza South,mixed/composite,Minneapolis,149.8899994,2001
200 Riverside Boulevard At Trump Place,concrete,New York City,149.8099976,1999
Chelsea Stratus,concrete,New York City,149.6600037,2008
Twelve Centennial Park Tower I,concrete,Atlanta,149.6600037,2007
CBS Building,concrete,New York City,149.6600037,1965
Constellation Place,steel,Los Angeles,149.5,2003
235 West Van Buren,concrete,Chicago,149.4100037,2010
Hess Tower,concrete,Houston,149.3500061,2010
33 Arch Street,steel,Boston,149.0500031,2004
Hyatt Regency Denver at the Colorado Convention Center,concrete,Denver,149,2005
One Rockefeller Plaza,steel,New York City,149,1937
The Bristol,concrete,Chicago,148.7400055,2000
1075 Peachtree Office Tower,concrete,Atlanta,148.7400055,2010
333 Wacker Drive,steel,Chicago,148.5700073,1983
50 California Street,steel,San Francisco,148.4400024,1972
Henry M. Jackson Federal Building,mixed/composite,Seattle,148.4400024,1974
555 Mission Street,steel,San Francisco,148.4400024,2008
Espirito Santo Plaza,concrete,Miami,148.3999939,2004
Park Avenue Condominiums,concrete,Atlanta,148.1399994,2000
Wolf Point West Tower,concrete,Chicago,148.0800018,2016
THEHotel,concrete,Las Vegas,147.9299927,2003
Terminus 100,concrete,Atlanta,147.9100037,2007
Grant Building,steel,Pittsburgh,147.8300018,1930
McGraw-Hill Building,steel,New York City,147.8300018,1931
99 Washington Street,concrete,New York City,147.7799988,2015
Regalia,concrete,Sunny Isles Beach,147.75,2015
One US Bank Plaza,steel,St. Louis,147.6000061,1976
St. Regis San Francisco,concrete,San Francisco,147.5299988,2005
Brickell World Plaza at 600 Brickell,mixed/composite,Miami,147.5299988,2011
Miami Center,steel,Miami,147.5200043,1983
1 Bank of America Center,mixed/composite,Charlotte,147.5200043,2010
Portofino Tower,concrete,Miami Beach,147.5,1997
Panorama Tower III,concrete,Las Vegas,147.3200073,2009
Spire,concrete,Denver,147.2200012,2009
Chase Tower,steel,Phoenix,147.2200012,1972
666 5th Avenue,steel,New York City,147.2200012,1957
Asia,concrete,Miami,147.2200012,2007
Excelsior House,concrete,New York City,147,1967
Brickell on the River North Tower,concrete,Miami,146.9199982,2005
Kansas City Power & Light Building,steel,Kansas City,146.6100006,1931
KPMG Centre,steel,Dallas,146.6100006,1980
The Regatta,concrete,Chicago,146.4499969,2007
Three Tequesta Point,concrete,Miami,146.3000031,2001
160 Madison Avenue,concrete,New York City,146.3000031,2015
33 North LaSalle,steel,Chicago,146,1930
The Century,concrete,Los Angeles,145.6999969,2010
Paramount at Buckhead,concrete,Atlanta,145.6999969,2004
Consolidated Gas Building,steel,New York City,145.6999969,1928
CassaNY,concrete,New York City,145.6399994,2010
Summit on Lake,concrete,Chicago,145.5399933,2014
Lincoln Park 2550,concrete,Chicago,145.5399933,2012
225 Franklin Street,steel,Boston,145.3899994,1966
The O'Quinn Medical Tower at St. Luke's,concrete,Houston,145.3000031,1990
W Austin Hotel & Residences,concrete,Austin,145.2700043,2010
Turnberry Place I,concrete,Las Vegas,145.2400055,2001
Turnberry Place II,concrete,Las Vegas,145.2400055,2002
Turnberry Place III,concrete,Las Vegas,145.2400055,2004
Turnberry Place IV,concrete,Las Vegas,145.2400055,2006
Latitude on the River,concrete,Miami,145.1900024,2007
100 Pine Center,steel,San Francisco,145.1000061,1972
Bankers Building,steel,Chicago,145.0899963,1927
The Pinnacle,concrete,Sunny Isles Beach,145.0899963,1998
Daily News Building,steel,New York City,145.0899963,1930
Mutual of America Building,steel,New York City,145.0899963,1995
45 Fremont Center,steel,San Francisco,145,1979
400 Park Avenue South,concrete,New York City,144.9799957,2015
135 West 52nd Street,concrete,New York City,144.7799988,2015
Electra,mixed/composite,San Diego,144.7799988,2008
The Murano,concrete,Philadelphia,144.7799988,2008
Book Tower,steel,Detroit,144.7799988,1926
The Signature at MGM Grand Tower I,concrete,Las Vegas,144.7799988,2006
The Signature at MGM Grand Tower II,concrete,Las Vegas,144.7799988,2006
The Signature at MGM Grand Tower III,concrete,Las Vegas,144.7799988,2007
Metropolitan Tower,steel,Chicago,144.7799988,1924
Cook County Administration Building,concrete,Chicago,144.7799988,1964
Koppers Building,steel,Pittsburgh,144.7799988,1929
Plaza VII,steel,Minneapolis,144.6399994,1987
Plaza 440,concrete,Chicago,144.4799957,1991
American Furniture Mart,mixed/composite,Chicago,144.4799957,1926
One South Broad,steel,Philadelphia,144.3699951,1932
Marymount University Dormitory,concrete,New York City,144.1699982,2001
12 Metrotech Center,steel,New York City,144.1699982,2005
333 Market Building,steel,San Francisco,144,1979
505 West 37th Street East Tower,concrete,New York City,143.8699951,2010
Park Avenue Place,concrete,New York City,143.8699951,2004
United States Plywood Building,steel,New York City,143.8699951,1961
The Link,concrete,New York City,143.5599976,2007
325 5th Avenue,concrete,New York City,143.5599976,2006
Hotel InterContinental,steel,Chicago,143.5599976,1929
"Continuum on South Beach, South Tower",concrete,Miami Beach,143.5,2002
1100 Millicento Residences,concrete,Miami,143.3000031,2015
Embassy Suites Times Square,mixed/composite,New York City,143.2599945,1990
Aire,concrete,New York City,143.2599945,2010
Wyndham New Yorker Hotel,steel,New York City,143.2599945,1930
City Place,concrete,Chicago,143.2599945,1990
Hampshire House,steel,New York City,143.2599945,1931
"Roosevelt University Academic, Student Life Residence Center",mixed/composite,Chicago,143,2012
3630 Peachtree Road,concrete,Atlanta,142.9499969,2009
The Carlyle,concrete,Minneapolis,142.8500061,2007
Columbus Plaza,concrete,Chicago,142.6499939,1980
Scripps Center,steel,Cincinnati,142.6499939,1990
U.S. Bancorp Center,steel,Minneapolis,142.5,2000
AT&T Tower,steel,Minneapolis,142.3399963,1991
Coast at Lakeshore East,concrete,Chicago,142.2200012,2013
The Sterling,concrete,Chicago,142.0399933,2001
650 California Street,steel,San Francisco,142,1964
Qwest Plaza,steel,Seattle,142,1976
Allure Las Vegas Tower I,concrete,Las Vegas,141.9600067,2007
The Marc,concrete,New York City,141.5599976,2004
Franklin County Courthouse,steel,Columbus,141.3999939,1991
Tribune Tower,steel,Chicago,141.1199951,1925
200 North Dearborn Apartments,concrete,Chicago,141.0700073,1989
Randolph Tower,steel,Chicago,141.0200043,1929
Victory Apartments,concrete,New York City,140.9199982,2002
Smith Tower,steel,Seattle,140.8200073,1914
Montague-Court Building,steel,New York City,140.8200073,1927
Presidential Towers I,concrete,Chicago,140.6000061,1985
Presidential Towers II,concrete,Chicago,140.6000061,1985
Presidential Towers III,concrete,Chicago,140.6000061,1985
Presidential Towers IV,concrete,Chicago,140.6000061,1985
Jumeirah Essex House,steel,New York City,140.5099945,1931
Trump Towers I,concrete,Sunny Isles Beach,140.5,2008
Trump Towers II,concrete,Sunny Isles Beach,140.5,2008
Trump Towers III,concrete,Sunny Isles Beach,140.5,2008
480 Washington Boulevard,steel,Jersey City,140.5,2004
The New York,concrete,Chicago,140.4900055,1986
One Miami East Tower,concrete,Miami,140.2100067,2005
8 Stone Street,concrete,New York City,139.6999969,2010
Palms Fantasy Tower,concrete,Las Vegas,139.6000061,2006
The Residences at Grand Plaza,concrete,Chicago,139.6000061,2003
600 Fairbanks Court,concrete,Chicago,139.5,2008
66 Rockwell Place,concrete,New York City,139.3000031,2014
Swissotel Chicago,concrete,Chicago,139.2899933,1989
Equitable Building,steel,Chicago,139.2899933,1965
One Union Square,steel,Seattle,139,1981
Trump Parc Condominiums,steel,New York City,139,1930
Atlantic Wharf,mixed/composite,Boston,139,2011
Kingsbury Plaza,concrete,Chicago,138.8399963,2007
The Monaco North Tower,concrete,Jersey City,138.6999969,2011
The Monaco South Tower,concrete,Jersey City,138.6999969,2011
Olive 8,concrete,Seattle,138.6900024,2009
The Pinnacle Marina Tower,concrete,San Diego,138.6799927,2005
Paramount Building,steel,New York City,138.6799927,1927
Accenture Tower,concrete,Minneapolis,138.5200043,1987
400 North LaSalle,concrete,Chicago,138.4299927,2005
Equitable Life Building,steel,Los Angeles,138.3999939,1969
Trump SoHo Hotel Condominium,concrete,New York City,138.3800049,2010
Eleven-Eleven Third Avenue,steel,Seattle,138.3800049,1980
City Hall,steel,Los Angeles,138.3800049,1928
909 Walnut,steel,Kansas City,138.3000031,1931
717 Texas Avenue,concrete,Houston,138.1999969,2003
ABN AMRO Plaza,mixed/composite,Chicago,138.1300049,2003
Turnberry Towers - East Tower,concrete,Las Vegas,138.0800018,2007
Turnberry Towers - West Tower,concrete,Las Vegas,138.0800018,2008
600 North Lake Shore Drive - North Tower,concrete,Chicago,138.0800018,2008
53rd at Third,steel,New York City,138.0800018,1986
Spire,concrete,Atlanta,138,2005
510 Madison,steel,New York City,137.8699951,2010
AT&T Center,steel,Los Angeles,137.8000031,1965
Roanoke Building,steel,Chicago,137.7700043,1927
The Dylan,concrete,New York City,137.7700043,2013
High Street Tower,steel,Boston,137.7700043,1990
1065 Avenue of the Americas,steel,New York City,137.4700012,1957
Buckhead Grand,concrete,Atlanta,137.4700012,2004
Metropolitan Life North Building,steel,New York City,137.4700012,1950
7 Bryant Park,mixed/composite,New York City,137.4100037,2015
Riverbend Condominiums,concrete,Chicago,137.3899994,2002
The Shoreham,concrete,Chicago,137.1600037,2005
Eugenie Terrace on the Park,concrete,Chicago,137.1600037,1987
Tower 31,concrete,New York City,137.1600037,2006
47 East 34th Street,concrete,New York City,137.1600037,2009
Gateway Center III,mixed/composite,Chicago,137.1600037,1971
100 Summer Street,steel,Boston,137.1600037,1974
Three Wells Fargo Center,concrete,Charlotte,137.1600037,2000
One Cleveland Center,steel,Cleveland,137.1600037,1983
Westin Seattle North Tower,steel,Seattle,137,1982
Veer Towers East,mixed/composite,Las Vegas,137,2010
Veer Towers West,mixed/composite,Las Vegas,137,2010
Hubbard Place,concrete,Chicago,136.9600067,2013
One Miami West Tower,concrete,Miami,136.8600006,2005
200 Squared,concrete,Chicago,136.8600006,2010
Millennium Point,concrete,New York City,136.8600006,2001
Chateau Beach Residences,concrete,Sunny Isles Beach,136.8000031,2015
50 Broadway,steel,New York City,136.5500031,1927
Adams Express Building,steel,New York City,136.5500031,1916
W Minneapolis - The Foshay,steel,Minneapolis,136.5500031,1929
1250 Broadway,steel,New York City,136.3000031,1970
La Perla Ocean Residences,concrete,Sunny Isles Beach,136.25,2006
Ivy Tower,concrete,New York City,136.25,2003
Ann & Robert H. Lurie Children's Hospital of Chicago,mixed/composite,Chicago,136.1900024,2012
University Club Tower,concrete,Milwaukee,136,2007
Greenwich Club Residences,steel,New York City,135.9400024,1931
Manchester Grand Hyatt Seaport,steel,San Diego,135.9400024,2003
300 South Wacker,concrete,Chicago,135.6399994,1971
1400 Broadway,steel,New York City,135.6399994,1931
120 Wall Street,steel,New York City,135.6000061,1930
Fisher Building,steel,Detroit,135.4700012,1928
Premier on Pine,concrete,Seattle,135.3300018,2015
Bridge Tower Place,concrete,New York City,135.0299988,2001
100 Park Avenue,steel,New York City,135.0299988,1949
Element New York Times Square West,concrete,New York City,135,2010
Daily Commerce Building,steel,New York City,135,1931
City Hall,steel,Kansas City,135,1937
Optima Chicago Center,concrete,Chicago,134.8999939,2014
Lucerne Apartments,concrete,New York City,134.8800049,1991
Harriman Building,steel,New York City,134.7200012,1928
Met 1,concrete,Miami,134.1100006,2007
Fifteen Twenty-One Second Avenue,concrete,Seattle,134.1100006,2008
Cirrus,concrete,Seattle,134.1000061,2015
The Olivia,mixed/composite,New York City,134.1000061,2001
Insignia South Tower,concrete,Seattle,134,2015
The Mondrian,concrete,New York City,133.8099976,1992
One Park Tower,steel,Atlanta,133.8099976,1961
W Dallas Victory Hotel & Residences,concrete,Dallas,133.8000031,2006
Wrigley Building,steel,Chicago,133.5099945,1922
Park Laurel Condominiums,concrete,New York City,133.5,2001
Willoughby Tower,steel,Chicago,133.5,1929
The Crest,steel,New York City,133.5,1929
Borden Building,steel,Columbus,133.5,1974
Empire Trust Company Building,steel,New York City,133.5,1927
One California,steel,San Francisco,133.5,1969
Cadillac Tower,steel,Detroit,133.1999969,1927
Residence Inn New York Manhattan/Times Square,concrete,New York City,133.1499939,2006
Cira Centre,steel,Philadelphia,133.1000061,2005
David Stott Building,steel,Detroit,133.0800018,1929
Crystal Point,concrete,Jersey City,132.8999939,2009
San Francisco Marriott,steel,San Francisco,132.8999939,1989
750 3rd Avenue,steel,New York City,132.8899994,1958
Annenberg Pavillion,steel,New York City,132.8899994,1974
140 New Montgomery Street,steel,San Francisco,132.6999969,1925
Russ Building,steel,San Francisco,132.6000061,1927
Archstone Midtown West,concrete,New York City,132.5899963,1998
745 5th Avenue,steel,New York City,132.5899963,1931
180 North LaSalle,concrete,Chicago,132.5800018,1972
Spring,concrete,Austin,132.2899933,2009
Fontainebleau Tower Suites,concrete,Miami Beach,132.25,2005
Silver Tower,concrete,Chicago,132.0800018,2010
5900 Wilshire,steel,Los Angeles,132,1971
225 West Wacker,concrete,Chicago,132,1989
The Vanderbilt,concrete,New York City,131.9799957,1986
ITT Building,steel,New York City,131.9799957,1928
Loft 2,concrete,Miami,131.9799957,2007
Chrysler Building East,steel,New York City,131.7400055,1999
535 5th Avenue,steel,New York City,131.6799927,1926
Bush Tower,steel,New York City,131.6799927,1917
The Savoy Condominiums,concrete,New York City,131.6699982,1986
218 West 35th Street,concrete,New York City,131.6699982,2015
BKLYN Air,concrete,New York City,131.6699982,2014
1130 South Michigan,concrete,Chicago,131.3699951,1967
Carl B. Stokes Federal Courthouse,steel,Cleveland,131.0700073,2002
Baltimore Marriott Waterfront Hotel,concrete,Baltimore,131.0599976,2001
Memorial Hermann Medical Plaza,concrete,Houston,131.0399933,2007
McClurg Court Center A,concrete,Chicago,131,1971
McClurg Court Center B,concrete,Chicago,131,1971
Turnberry Ocean Colony North Tower,concrete,Sunny Isles Beach,131,2007
Turnberry Ocean Colony South Tower,concrete,Sunny Isles Beach,131,2008
1700 Market Street,concrete,Philadelphia,131,1968
Fred F. French Building,steel,New York City,130.7599945,1927
AT&T Building,steel,New York City,130.7599945,1930
Linc LIC,concrete,New York City,130.75,2013
First Hawaiian Center,steel,Honolulu,130.75,1996
1555 North Astor,concrete,Chicago,130.5599976,1975
One Carnegie Hill,concrete,New York City,130.5,2006
712 Main Street,steel,Houston,130.4600067,1929
101 Warren Street,concrete,New York City,130.4600067,2008
Manhattan Plaza Apartments I,concrete,New York City,130.4499969,1977
Manhattan Plaza Apartments II,concrete,New York City,130.4499969,1977
Harlem River Park Tower I,concrete,New York City,130.4499969,1975
Harlem River Park Tower II,concrete,New York City,130.4499969,1975
Toren,steel,New York City,130.25,2009
Marbella Apartments,concrete,Jersey City,130.1999969,2003
Finland House,concrete,New York City,130.1499939,1970
Sheraton Kansas City Hotel at Crown Center,steel,Kansas City,130,1980
Evo at Cira Centre South,concrete,Philadelphia,130,2014
AMA Building,steel,Chicago,130,1990
500 Brickell East Tower,concrete,Miami,129.8500061,2007
500 Brickell West Tower,concrete,Miami,129.8500061,2007
Eugenie Square,concrete,Chicago,129.8500061,1972
The Spires,concrete,Houston,129.8500061,1983
The Carlyle,steel,New York City,129.8500061,1931
Milwaukee Center,concrete,Milwaukee,129.8500061,1988
Waihonua at Kewalo,concrete,Honolulu,129.8000031,2015
Ocean Two Condominiums I,concrete,Sunny Isles Beach,129.8000031,2001
Ocean Two Condominiums II,concrete,Sunny Isles Beach,129.8000031,2001
The Promenade,concrete,New York City,129.8000031,1987
Fairmont Hotel,concrete,Chicago,129.7700043,1987
The Rushmore,concrete,New York City,129.5399933,2008
Avenue,concrete,Charlotte,129.5399933,2007
Blue on the Bay,concrete,Miami,129.5399933,2005
1835 Market Street,steel,Philadelphia,129.5399933,1986
Yorkville Towers,concrete,New York City,129.5,1975
505 Montgomery,steel,San Francisco,129.5,1988
Sky55,concrete,Chicago,129.4100037,2006
Harbor Club East,concrete,San Diego,129.2400055,1992
Harbor Club West,concrete,San Diego,129.2400055,1992
Time Warner Building,steel,New York City,129.2400055,1947
Whitehall Building Annex,steel,New York City,129.2400055,1910
One PNC Plaza,steel,Pittsburgh,129.2400055,1972
Mortimer B. Zuckerman Research Center,steel,New York City,129.2400055,2008
1800 Club,concrete,Miami,129.0500031,2007
Rio Condominium & Spa,concrete,New York City,129,1986
VUE at Brickell,concrete,Miami,129,2004
Fifth Third Center,steel,Cincinnati,129,1969
Brickell on the River South Tower,concrete,Miami,128.9299927,2007
ICON at South Beach,concrete,Miami Beach,128.9299927,2004
Palms Casino Hotel,concrete,Las Vegas,128.9299927,2001
The Bowie,concrete,Austin,128.8999939,2015
Rio Masquerade Tower,concrete,Las Vegas,128.8600006,1997
195 Broadway,steel,New York City,128.6300049,1922
Wells Fargo Center,steel,Salt Lake City,128.6300049,1998
Archstone Chelsea,concrete,New York City,128.6199951,2004
180 Riverside Boulevard at Trump Place,concrete,New York City,128.5700073,1998
Moana Pacific East Tower,concrete,Honolulu,128.5299988,2008
Moana Pacific West Tower,concrete,Honolulu,128.5299988,2008
2020 North Lincoln Park West,concrete,Chicago,128.3200073,1971
CenturyLink Building,steel,Minneapolis,128.3000031,1932
One Sutton Place North,concrete,New York City,128.1699982,2003
Two Sutton Place North,concrete,New York City,128.1699982,2014
Skybridge,concrete,Chicago,128.1699982,2003
Market Tower,concrete,Indianapolis,128.1699982,1988
2 Columbus,concrete,New York City,128.0200043,1998
The Infinity II,concrete,San Francisco,128.0200043,2009
Vantage Pointe Condominium,concrete,San Diego,128.0200043,2009
Park Place on Peachtree,concrete,Atlanta,128.0200043,1986
Justice Center,steel,Cleveland,128.0200043,1977
The Mark on Brickell,concrete,Miami,128,2001
Panorama Tower I,concrete,Las Vegas,128,2006
Panorama Tower II,concrete,Las Vegas,128,2008
JPMorgan Chase Building,steel,San Francisco,128,2002
LDS Office Building,steel,Salt Lake City,128,1973
2828 Peachtree Luxury Condominiums,concrete,Atlanta,127.8700027,2002
Federal Building,steel,Cleveland,127.7099991,1967
Keola Lai,concrete,Honolulu,127.6999969,2008
100 East Pratt Street,steel,Baltimore,127.5500031,1992
Hokua at 1288 Ala Moana,concrete,Honolulu,127.4100037,2006
Pacifica Honolulu,concrete,Honolulu,127.4000015,2012
Axis on Brickell North Tower,concrete,Miami,127.4000015,2008
Axis on Brickell South Tower,concrete,Miami,127.4000015,2008
The Paramount,concrete,San Francisco,127.4000015,2002
80 Broad Street,steel,New York City,127.4000015,1931
Pacwest Center,mixed/composite,Portland,127.4000015,1984
Nauru Tower,concrete,Honolulu,127.1399994,1992
Alta at K Station - East Tower,concrete,Chicago,127.1399994,2010
Providian Financial Building,steel,San Francisco,127,1983
Ko'olani,concrete,Honolulu,126.8000031,2006
Crown Building,steel,New York City,126.8000031,1921
2 East Erie,concrete,Chicago,126.4899979,2002
10 East Delaware,concrete,Chicago,126.3899994,2010
MCI Center,steel,Los Angeles,126.3000031,1973
801 South Street Building A,concrete,Honolulu,126.0299988,2015
One Broadway on Brickell,concrete,Miami,126,2005
Three Embarcadero Center,steel,San Francisco,126,1976
Two Embarcadero Center,steel,San Francisco,126,1974
50 Columbus,concrete,Jersey City,125.9000015,2007
First Allied Plaza,steel,San Diego,125.5999985,2005
"Continuum on South Beach, North Tower",concrete,Miami Beach,125.5,2002
Ashton,concrete,Austin,125.5,2009
The Club at Brickell Bay,concrete,Miami,125.3000031,2004
505 5th Avenue,concrete,New York City,125.2699966,2006
MoMo,mixed/composite,Chicago,125.1399994,2008
Niels Eperson Building,steel,Houston,125.0500031,1927
52 East End Avenue,concrete,New York City,125,1987
Two Tequesta Point,concrete,Miami,125,1999
National City Center,concrete,Cleveland,125,1980
Chemed Center,concrete,Cincinnati,125,1990
One City Centre,steel,Houston,125,1961
595 Market Street,concrete,San Francisco,125,1979
1100 North Lake Shore Drive,concrete,Chicago,124.9700012,1979
Regional Enterprise Tower,steel,Pittsburgh,124.9700012,1953
Citylights at Queens Landing,concrete,New York City,124.8700027,1997
Westin Building,steel,Seattle,124.6699982,1981
1270 Avenue of the Americas,steel,New York City,124.6600037,1932
Museum Tower,concrete,Chicago,124.6399994,2006
JW Marriott Convention Hotel,concrete,Austin,124.4000015,2015
Malibu East,concrete,Chicago,124.3600006,1970
1410 Broadway,steel,New York City,124.3600006,1931
300 North Meridian,concrete,Indianapolis,124.3600006,1989
Three Nationwide Plaza,steel,Columbus,124.3600006,1988
Commerce Tower,steel,Kansas City,124.0999985,1965
U.S. Bank Center,concrete,Phoenix,124.0999985,1974
Murano Grande at Portofino,concrete,Miami Beach,124.0599976,2003
Carbonell Condominium,concrete,Miami,124,2005
Aspira Apartments,concrete,Seattle,124,2010
1010 Peachtree,concrete,Atlanta,124,2009
River House Apartments,steel,New York City,123.5,1931
DKLB BKLN,concrete,New York City,123.4499969,2010
2727 Kirby,concrete,Houston,123.4499969,2009
Wells Fargo Building,steel,Philadelphia,123.4499969,1927
Hilton Garden Inn,concrete,New York City,123.4400024,2014
Hilton Grand Vacations Club II,concrete,Las Vegas,123.4000015,2006
Ocean Three Condominiums,concrete,Sunny Isles Beach,123.4000015,2003
Hennepin County Government Center,steel,Minneapolis,123.2300034,1977
1300 North Lake Shore Drive,concrete,Chicago,123.1399994,1965
West End Towers,concrete,New York City,123.1399994,1995
The Ritz-Carlton Philadelphia,steel,Philadelphia,123.1399994,1930
Time-Life Building,concrete,Chicago,123.1399994,1969
Hunter's Point South Tower 1,concrete,New York City,123.0999985,2015
Fifty South Sixth,steel,Minneapolis,123.0899963,2001
The Montgomery,concrete,Chicago,123.0400009,1972
Horizon Apartments,concrete,New York City,122.8399963,1989
Ocean 4,concrete,Sunny Isles Beach,122.8300018,2006
Galter Pavilion,mixed/composite,Chicago,122.6800003,1997
US Bank Tower,steel,Sacramento,122.5999985,2008
Murano at Portofino,concrete,Miami Beach,122.5,2001
Four Seasons Residences Austin,concrete,Austin,122.25,2010
BMO Plaza,steel,Indianapolis,122.2300034,1988
Helena,concrete,New York City,122.2200012,2005
One American Center,concrete,Austin,122.2200012,1984
1441 Broadway,steel,New York City,122.1999969,1930
The Mercer,concrete,Houston,122.0699997,2003
420 East Ohio,concrete,Chicago,122,1990
100 Van Ness,steel,San Francisco,122,1974
Hawaiki Tower,concrete,Honolulu,121.9199982,1999
One Waterfront Tower - Makai,concrete,Honolulu,121.9199982,1990
One Waterfront Tower - Mauka,concrete,Honolulu,121.9199982,1990
Buckingham Plaza,concrete,Chicago,121.9199982,1982
46-15 Center Boulevard,concrete,New York City,121.9199982,2013
Harbor Towers I,concrete,Boston,121.9199982,1971
Millennium Park Plaza,concrete,Chicago,121.9199982,1982
Oro Condominium,concrete,New York City,121.9199982,2008
777 North Michigan,concrete,Chicago,121.9199982,1964
One Logan Square,concrete,Philadelphia,121.9199982,1983
The Palace,concrete,Miami,121.9000015,1982
420 West 42nd Street,concrete,New York City,121.9000015,2001
Imperial Plaza,concrete,Honolulu,121.9000015,1992
The Chatham,concrete,New York City,121.9000015,2000
Southwestern Telephone Building,steel,St. Louis,121.6600037,1926
River View II,concrete,Chicago,121.6200027,2004
75 Livingston Street,steel,New York City,121.5999985,1926
The Charles,concrete,New York City,121.3099976,2015
One Congress Plaza,concrete,Austin,121.3099976,1987
1N4th,concrete,New York City,121.3000031,2015
Capitol at Chelsea,concrete,New York City,121.3000031,2001
One Maritime Plaza,steel,San Francisco,121.3000031,1967
James House,concrete,Chicago,121.2600021,1971
OHM,concrete,New York City,121.1800003,2009
Westin Seattle South Tower,steel,Seattle,121,1969
The Carillon Hotel & Spa North Tower,concrete,Miami Beach,121,2008
Cityfront Place,concrete,Chicago,120.6999969,1991
Harbor Towers II,concrete,Boston,120.6999969,1971
Ala Moana Hotel,concrete,Honolulu,120.6999969,1970
Ariel East,concrete,New York City,120.6999969,2007
333 North Michigan,steel,Chicago,120.6999969,1928
10 Rittenhouse Square,concrete,Philadelphia,120.6999969,2009
Metcalfe Federal Building,concrete,Chicago,120.6999969,1991
Bank of the West Tower,steel,Sacramento,120.6999969,2009
Two Alliance Center,mixed/composite,Atlanta,120.5199966,2009
The Pearson,concrete,Chicago,120.4700012,2003
Walton Colonnade,concrete,Chicago,120.4000015,1972
The Plaza on Dewitt,concrete,Chicago,120.4000015,1966
The Aldyn,concrete,New York City,120.4000015,2011
Bayside at the Embarcadero,concrete,San Diego,120.4000015,2009
The Concorde Hotel,concrete,New York City,120.4000015,1985
The Grand Sutton,concrete,New York City,120.4000015,1990
WaterMarke Tower,concrete,Los Angeles,120.4000015,2009
Millennium Tower Residences,concrete,New York City,120.0899963,2007
1110 North Lake Shore Drive,concrete,Chicago,120,1970
Brittany Apartments,concrete,New York City,120,1995
One Wilshire Building,steel,Los Angeles,120,1968
Aqua Skyline at Island Colony,concrete,Honolulu,119.8000031,1978
Avalon Fort Greene,concrete,New York City,119.7900009,2010
Avenue Hotel,concrete,Chicago,119.7900009,1973
325 LEX,concrete,New York City,119.7900009,2015
Marmon Building,steel,Chicago,119.7799988,1987
Walker Tower,steel,New York City,119.6299973,2013
Bellagio Spa Tower,concrete,Las Vegas,119.5,2004
Plaza 400 Apartments,concrete,New York City,119.4800034,1967
Marriott Hotel City Center,steel,Minneapolis,119.4100037,1983
East Point,concrete,Chicago,119.1800003,1967
420 5th Avenue,steel,New York City,119.1800003,1989
Park Row Building,steel,New York City,119.1800003,1899
11 Penn Plaza,steel,New York City,119.1800003,1924
The Parklane,concrete,Houston,119,1983
The Metropolitan at the 9,mixed/composite,Cleveland,119,2015
45-45 Center Boulevard,concrete,New York City,118.9000015,2013
Planet Hollywood Las Vegas,steel,Las Vegas,118.8700027,2000
20 Broad Street,steel,New York City,118.8700027,1956
United States Federal Courthouse,steel,Seattle,118.8700027,2004
Aria,steel,Philadelphia,118.5699997,1929
Unigard Financial Center,mixed/composite,Seattle,118.5699997,1972
The Chandler,concrete,Chicago,118.4700012,2008
