SALARY,TITLE,DEPARTMENT
"$37,449.32 ",REVENUE AGENT,FINANCE
"$42,142.36 ",SENIOR TREASURY ANALYST,FINANCE
"$40,259.71 ",REVENUE AGENT,FINANCE
"$44,461.78 ",BUS LICENSE SUPERVISOR,FINANCE
"$55,177.55 ",SENIOR TREASURY ANALYST,FINANCE
"$33,050.00 ",REVENUE AGENT,FINANCE
"$38,432.12 ",REVENUE AGENT,FINANCE
"$36,297.53 ",REVENUE AGENT,FINANCE
"$31,736.38 ",REVENUE AGENT,FINANCE
"$64,509.90 ",SAFETY SUPERVISOR,FINANCE
"$51,114.98 ",REGISTERED NURSE,FINANCE
"$58,465.83 ",SAFETY OFFICER,FINANCE
"$59,061.34 ",SAFETY OFFICER,FINANCE
"$88,233.60 ",RISK MANAGER,FINANCE
"$46,462.14 ",SAFETY OFFICER,FINANCE
"$45,528.02 ",ADMINISTRATIVE ASSISTANT,FINANCE
"$68,242.00 ",PHYSICIAN EXTENDER,FINANCE
"$49,920.00 ",PARTTIME OFFICE/CLERICAL,FINANCE
"$40,522.96 ",PURCHASING TECHNICIAN,FINANCE
"$80,929.11 ",PURCHASING MANAGER,FINANCE
"$47,294.55 ",PURCHASING AGENT,FINANCE
"$46,794.84 ",PURCHASING AGENT,FINANCE
"$51,407.94 ",PURCHASING AGENT,FINANCE
"$37,137.43 ",PURCHASING TECHNICIAN,FINANCE
"$38,444.00 ",PRINT SHOP COORDINATOR,FINANCE
"$34,977.02 ",DUPLICATING EQUIPMENT OPERATOR,FINANCE
"$34,718.93 ",DUPLICATING EQUIPMENT OPERATOR,FINANCE
"$30,824.05 ",DUPLICATING EQUIPMENT OPERATOR,FINANCE
"$49,727.89 ",EMERGENCY INFORMATION SERV COO,FINANCE
"$42,463.78 ",MANAGEMENT ASSISTANT,FIRE
"$35,196.32 ",FIRE SERVICES SUPPLY,FIRE
"$26,928.22 ",STAFF ASSISTANT,FIRE
"$57,913.96 ",FIRE CAPTAIN,FIRE
"$51,899.48 ",FIRE SERVICES ADMINISTRATOR,FIRE
"$113,400.10 ",FIRE CHIEF,FIRE
"$44,503.64 ",ADMINISTRATIVE ASSISTANT,FIRE
"$84,999.98 ",DEPUTY FIRE CHIEF,FIRE
"$32,628.70 ",FIREFIGHTER,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$42,255.00 ",FIREFIGHTER,FIRE
"$74,893.26 ",BATTALION FIRE CHIEF,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$29,578.38 ",FIREFIGHTER,FIRE
"$69,126.46 ",BATTALION FIRE CHIEF,FIRE
"$45,525.97 ",FIRE TECHNICIAN,FIRE
"$63,176.49 ",FIRE CAPTAIN,FIRE
"$32,628.79 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$34,240.21 ",FIREFIGHTER,FIRE
"$37,030.76 ",FIREFIGHTER,FIRE
"$46,543.80 ",FIRE CAPTAIN,FIRE
"$51,710.10 ",FIRE CAPTAIN,FIRE
"$35,237.45 ",FIREFIGHTER,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$50,214.92 ",FIRE TECHNICIAN,FIRE
"$55,881.54 ",FIRE CAPTAIN,FIRE
"$34,250.84 ",FIREFIGHTER,FIRE
"$36,650.12 ",FIRE TECHNICIAN,FIRE
"$40,048.74 ",ACCREDITATION MANAGER,FIRE
"$34,572.72 ",FIREFIGHTER,FIRE
"$34,240.17 ",FIREFIGHTER,FIRE
"$39,189.05 ",FIRE TECHNICIAN,FIRE
"$36,650.12 ",FIRE TECHNICIAN,FIRE
"$56,388.28 ",BATTALION FIRE CHIEF,FIRE
"$38,477.24 ",FIREFIGHTER,FIRE
"$32,439.94 ",FIREFIGHTER,FIRE
"$38,477.24 ",FIREFIGHTER,FIRE
"$46,155.72 ",FIRE TECHNICIAN,FIRE
"$37,030.76 ",FIREFIGHTER,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$42,487.64 ",FIRE TECHNICIAN,FIRE
"$68,226.34 ",FIRE CAPTAIN,FIRE
"$43,871.88 ",FIRE CAPTAIN,FIRE
"$62,563.17 ",FIRE CAPTAIN,FIRE
"$35,237.48 ",FIREFIGHTER,FIRE
"$35,493.38 ",FIREFIGHTER,FIRE
"$59,521.80 ",BATTALION FIRE CHIEF,FIRE
"$40,048.84 ",FIRE TECHNICIAN,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$38,477.24 ",FIREFIGHTER,FIRE
"$51,654.95 ",FIRE TECHNICIAN,FIRE
"$44,637.58 ",FIRE TECHNICIAN,FIRE
"$43,957.88 ",FIREFIGHTER,FIRE
"$51,717.64 ",FIRE CAPTAIN,FIRE
"$30,152.98 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$39,285.91 ",FIREFIGHTER,FIRE
"$52,576.42 ",FIRE TECHNICIAN,FIRE
"$34,250.84 ",FIREFIGHTER,FIRE
"$40,849.90 ",FIRE TECHNICIAN,FIRE
"$49,254.91 ",FIRE TECHNICIAN,FIRE
"$49,378.42 ",FIRE CAPTAIN,FIRE
"$58,179.55 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$48,870.90 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$34,240.21 ",FIREFIGHTER,FIRE
"$53,102.06 ",FIRE TECHNICIAN,FIRE
"$68,826.68 ",FIRE CAPTAIN,FIRE
"$32,123.26 ",FIREFIGHTER,FIRE
"$45,504.68 ",FIRE CAPTAIN,FIRE
"$33,588.10 ",FIREFIGHTER,FIRE
"$34,240.17 ",FIREFIGHTER,FIRE
"$55,881.54 ",FIRE CAPTAIN,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$47,374.03 ",FIRE CAPTAIN,FIRE
"$66,360.34 ",FIRE CAPTAIN,FIRE
"$40,048.75 ",FIRE TECHNICIAN,FIRE
"$43,762.34 ",FIRE TECHNICIAN,FIRE
"$32,625.32 ",FIREFIGHTER,FIRE
"$59,310.73 ",FIRE CAPTAIN,FIRE
"$45,188.16 ",FIRE CAPTAIN,FIRE
"$41,056.08 ",FIRE TECHNICIAN,FIRE
"$37,030.76 ",FIREFIGHTER,FIRE
"$50,732.50 ",FIRE TECHNICIAN,FIRE
"$33,221.76 ",FIREFIGHTER,FIRE
"$32,628.70 ",FIREFIGHTER,FIRE
"$31,648.50 ",FIREFIGHTER,FIRE
"$42,487.71 ",FIRE TECHNICIAN,FIRE
"$28,716.48 ",FIREFIGHTER,FIRE
"$52,991.90 ",FIRE CAPTAIN,FIRE
"$40,048.84 ",FIRE TECHNICIAN,FIRE
"$33,221.50 ",FIREFIGHTER,FIRE
"$27,349.00 ",FIREFIGHTER,FIRE
"$41,250.31 ",FIRE TECHNICIAN,FIRE
"$34,240.17 ",FIREFIGHTER,FIRE
"$38,882.28 ",FIRE TECHNICIAN,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$54,510.69 ",FIRE CAPTAIN,FIRE
"$52,576.42 ",FIRE TECHNICIAN,FIRE
"$31,057.52 ",FIREFIGHTER,FIRE
"$41,250.31 ",FIRE TECHNICIAN,FIRE
"$49,254.91 ",FIRE TECHNICIAN,FIRE
"$30,465.76 ",FIREFIGHTER,FIRE
"$33,221.76 ",FIREFIGHTER,FIRE
"$65,071.76 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$46,427.42 ",FIRE TECHNICIAN,FIRE
"$37,030.76 ",FIREFIGHTER,FIRE
"$42,487.81 ",FIRE TECHNICIAN,FIRE
"$59,841.60 ",FIRE CAPTAIN,FIRE
"$60,560.50 ",FIRE CAPTAIN,FIRE
"$52,485.68 ",FIRE CAPTAIN,FIRE
"$39,859.82 ",FIRE TECHNICIAN,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$72,268.04 ",BATTALION FIRE CHIEF,FIRE
"$70,535.14 ",FIRE CAPTAIN,FIRE
"$31,057.31 ",FIREFIGHTER,FIRE
"$31,648.50 ",FIREFIGHTER,FIRE
"$45,698.90 ",FIRE TECHNICIAN,FIRE
"$43,871.88 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$57,583.23 ",FIRE CAPTAIN,FIRE
"$50,316.50 ",FIRE TECHNICIAN,FIRE
"$35,237.45 ",FIREFIGHTER,FIRE
"$38,847.38 ",FIRE TECHNICIAN,FIRE
"$69,577.05 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$38,141.66 ",FIREFIGHTER,FIRE
"$43,762.34 ",FIRE TECHNICIAN,FIRE
"$51,717.64 ",FIRE CAPTAIN,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$63,176.44 ",FIRE CAPTAIN,FIRE
"$31,057.52 ",FIREFIGHTER,FIRE
"$38,141.66 ",FIREFIGHTER,FIRE
"$38,141.74 ",FIREFIGHTER,FIRE
"$46,896.20 ",FIRE TECHNICIAN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$50,732.50 ",FIRE TECHNICIAN,FIRE
"$59,086.63 ",FIRE CAPTAIN,FIRE
"$49,254.91 ",FIRE TECHNICIAN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$34,240.17 ",FIREFIGHTER,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$34,799.98 ",FIREFIGHTER,FIRE
"$38,556.18 ",FIRE TECHNICIAN,FIRE
"$29,578.38 ",FIREFIGHTER,FIRE
"$38,882.28 ",FIRE TECHNICIAN,FIRE
"$48,617.43 ",FIRE TECHNICIAN,FIRE
"$45,075.22 ",FIRE TECHNICIAN,FIRE
"$62,256.39 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$33,243.08 ",FIREFIGHTER,FIRE
"$67,023.91 ",FIRE CAPTAIN,FIRE
"$61,110.66 ",FIRE CAPTAIN,FIRE
"$44,968.82 ",FIRE CAPTAIN,FIRE
"$30,465.76 ",FIREFIGHTER,FIRE
"$37,401.00 ",FIREFIGHTER,FIRE
"$53,898.52 ",FIRE TECHNICIAN,FIRE
"$36,650.00 ",FIRE TECHNICIAN,FIRE
"$61,336.34 ",FIRE CAPTAIN,FIRE
"$59,677.36 ",FIRE CAPTAIN,FIRE
"$40,048.84 ",FIRE TECHNICIAN,FIRE
"$53,788.80 ",FIRE CAPTAIN,FIRE
"$32,439.94 ",FIREFIGHTER,FIRE
"$38,882.22 ",FIRE TECHNICIAN,FIRE
"$31,989.05 ",FIREFIGHTER,FIRE
"$46,543.80 ",FIRE CAPTAIN,FIRE
"$50,732.58 ",FIRE TECHNICIAN,FIRE
"$65,678.50 ",BATTALION FIRE CHIEF,FIRE
"$62,550.98 ",FIRE CAPTAIN,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$38,141.66 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$52,576.42 ",FIRE TECHNICIAN,FIRE
"$32,628.70 ",FIREFIGHTER,FIRE
"$35,493.53 ",FIREFIGHTER,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$29,578.64 ",FIREFIGHTER,FIRE
"$40,048.84 ",FIRE TECHNICIAN,FIRE
"$61,908.31 ",BATTALION FIRE CHIEF,FIRE
"$38,081.68 ",FIRE TECHNICIAN,FIRE
"$36,650.12 ",FIRE TECHNICIAN,FIRE
"$46,625.43 ",FIRE TECHNICIAN,FIRE
"$38,882.22 ",FIRE TECHNICIAN,FIRE
"$38,882.28 ",FIRE TECHNICIAN,FIRE
"$53,758.12 ",BATTALION FIRE CHIEF,FIRE
"$44,637.58 ",FIRE TECHNICIAN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$41,250.30 ",FIRE TECHNICIAN,FIRE
"$74,892.74 ",BATTALION FIRE CHIEF,FIRE
"$61,037.86 ",FIRE CAPTAIN,FIRE
"$35,237.54 ",FIREFIGHTER,FIRE
"$32,628.70 ",FIREFIGHTER,FIRE
"$44,637.59 ",FIRE TECHNICIAN,FIRE
"$40,464.49 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$58,110.28 ",FIRE CAPTAIN,FIRE
"$50,337.04 ",FIRE CAPTAIN,FIRE
"$37,030.76 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$31,648.76 ",FIREFIGHTER,FIRE
"$36,999.33 ",FIREFIGHTER,FIRE
"$51,045.00 ",FIRE TECHNICIAN,FIRE
"$33,439.90 ",FIREFIGHTER,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$30,152.85 ",FIREFIGHTER,FIRE
"$43,762.42 ",FIRE TECHNICIAN,FIRE
"$42,487.64 ",FIRE TECHNICIAN,FIRE
"$31,057.31 ",FIREFIGHTER,FIRE
"$51,045.00 ",FIRE TECHNICIAN,FIRE
"$34,240.18 ",FIREFIGHTER,FIRE
"$50,732.55 ",FIRE TECHNICIAN,FIRE
"$37,683.88 ",FIRE TECHNICIAN,FIRE
"$51,710.17 ",FIRE CAPTAIN,FIRE
"$28,717.00 ",FIREFIGHTER,FIRE
"$44,637.84 ",FIRE TECHNICIAN,FIRE
"$31,649.02 ",FIREFIGHTER,FIRE
"$60,729.01 ",FIRE CAPTAIN,FIRE
"$49,254.91 ",FIRE TECHNICIAN,FIRE
"$31,367.99 ",FIREFIGHTER,FIRE
"$60,729.01 ",FIRE CAPTAIN,FIRE
"$36,650.00 ",FIRE TECHNICIAN,FIRE
"$37,030.74 ",FIREFIGHTER,FIRE
"$38,141.66 ",FIREFIGHTER,FIRE
"$45,698.73 ",FIRE TECHNICIAN,FIRE
"$31,057.57 ",FIREFIGHTER,FIRE
"$38,043.20 ",FIREFIGHTER,FIRE
"$32,628.70 ",FIREFIGHTER,FIRE
"$40,869.22 ",FIREFIGHTER,FIRE
"$38,477.24 ",FIREFIGHTER,FIRE
"$39,285.91 ",FIREFIGHTER,FIRE
"$45,698.90 ",FIREFIGHTER,FIRE
"$43,522.65 ",FIREFIGHTER,FIRE
"$37,566.36 ",FIRE TECHNICIAN,FIRE
"$30,152.85 ",FIREFIGHTER,FIRE
